index_id,index_name,event_id,event_type,event_date,window_start,window_end,strategy,local_max_drawdown,exposure_5d_before,exposure_at_start,minimum_exposure,exposure_at_end,target_changes_in_window,all_sample_five_day_flips
CSI300,沪深300,CSI300-sideways_market-021,sideways_market,2025-03-10,2025-03-10,2025-06-06,MA20/MA60,0.10491515567427623,1.0000000000203615,1.0,0.19875742172442004,1.0,2,6
CSI300,沪深300,CSI300-sideways_market-021,sideways_market,2025-03-10,2025-03-10,2025-06-06,Volatility Targeting,0.10497749092646569,1.0,1.0,0.5087658251819289,1.0,28,633
CSI300,沪深300,CSI300-sideways_market-021,sideways_market,2025-03-10,2025-03-10,2025-06-06,Risk Score,0.07370322950745711,0.8503685864271763,0.8494558771400432,0.39895433725462126,0.8498645473915535,8,249
CSI300,沪深300,CSI300-sideways_market-022,sideways_market,2025-09-01,2025-09-01,2025-12-01,Buy & Hold,0.06314242664313419,1.0,1.0,1.0,1.0,0,0
CSI300,沪深300,CSI300-sideways_market-022,sideways_market,2025-09-01,2025-09-01,2025-12-01,Constant Exposure - Train Fixed,0.03933102747251904,0.6197878969302875,0.6190240611506092,0.6135197960145328,0.6205956937153033,0,0
CSI300,沪深300,CSI300-sideways_market-022,sideways_market,2025-09-01,2025-09-01,2025-12-01,MA200,0.06314242664313463,1.0,1.0,1.0,1.0,0,43
CSI300,沪深300,CSI300-sideways_market-022,sideways_market,2025-09-01,2025-09-01,2025-12-01,MA20/MA60,0.06314242664313419,1.0,1.0,1.0,1.0,0,6
CSI300,沪深300,CSI300-sideways_market-022,sideways_market,2025-09-01,2025-09-01,2025-12-01,Volatility Targeting,0.058443903467784386,0.9944808888030685,1.0000000068106307,0.7256271930442054,1.000008456300436,54,633
CSI300,沪深300,CSI300-sideways_market-022,sideways_market,2025-09-01,2025-09-01,2025-12-01,Risk Score,0.0585365293573632,0.9407365965111861,0.8501933474502046,0.3986993547357626,0.6519399892208517,19,249
CSI300,沪深300,CSI300-rapid_crash_then_rebound-023,rapid_crash_then_rebound,2020-02-03,2020-02-03,2020-02-21,Buy & Hold,0.006404386534135664,1.0,1.0,1.0,1.0,0,0
